7,33,-254
-55,911,-362
-73,922,-416
-59,867,-402
-91,873,-485
-37,819,-403
-117,730,-469
-78,822,-327
-157,856,-414
-169,908,-338
-138,791,-266
-156,892,-277
-157,817,-223
-188,908,-211
-154,834,-191
-187,893,-115
-263,793,-145
-139,858,-51
-129,752,-158
-5,828,-128
-99,733,-162
-7,748,-147
-1,679,-140
-33,752,-192
76,735,-177
104,702,-209
61,819,-238
113,746,-271
113,839,-285
108,740,-328
196,761,-332
83,705,-391
147,683,-299
107,654,-395
66,687,-448
31,653,-406
17,747,-438
-23,682,-399
-27,692,-474
-115,678,-482
-99,698,-411
-130,658,-378
-171,664,-396
-179,591,-385
-229,610,-378
-177,668,-285
-224,585,-267
-183,607,-205
-181,590,-173
-170,507,-167
-124,586,-134
-29,577,-80
-9,538,-138
-22,504,-76
28,570,-153
-21,618,-118
71,662,-94
113,578,-190
123,555,-232
84,641,-275
108,511,-245
55,578,-369
23,551,-333
66,488,-345
42,543,-360
6,491,-410
-11,510,-438
-93,490,-389
-66,541,-349
-114,544,-333
-126,480,-331
-147,516,-255
-171,459,-274
-128,465,-213
-93,412,-229
-125,405,-180
-152,305,-165
-54,370,-175
-9,327,-179
-12,376,-230
54,332,-240
36,364,-294
97,331,-239
53,315,-370
53,303,-336
33,217,-346
-9,259,-346
-35,186,-346
-88,237,-309
-116,171,-339
-139,242,-283
-168,194,-328
-94,211,-255
-153,229,-181
-78,142,-219
-35,200,-178
-89,141,-153
-33,84,-176
14,115,-231
0,122,-285
